"use_type_path";"attribute_name";"value_name";"external_id"
"Farming/Palm/Date";"kc_c";"0.1";"ter_attr_familia_palm_date_kc_c_val"
"Farming/Berries";"kc_a";"0.395833";"ter_attr_familia_berries_kc_a_val"
"Farming/Berries";"kc_b";"0.720833";"ter_attr_familia_berries_kc_b_val"
"Farming/Berries";"kc_c";"0.12";"ter_attr_familia_berries_kc_c_val"
"Farming/Cereals/TRIGO BLANDO";"Latin";"Triticum aestivum";"ter_attr_cultivo_1_latin_val"
"Farming/Cereals/TRIGO BLANDO";"EPPO";"TRZAX";"ter_attr_cultivo_1_eppo_val"
"Farming/Cereals/TRIGO BLANDO";"C. UPOV";"TRITI_AES";"ter_attr_cultivo_1_c_upov_val"
"Farming/Cereals/TRIGO BLANDO";"Horticultural";"NO";"ter_attr_cultivo_1_horticultural_val"
"Farming/Cereals/TRIGO BLANDO";"Energetic";"SI";"ter_attr_cultivo_1_energetic_val"
"Farming/Cereals/TRIGO BLANDO";"Fruit tree";"NO";"ter_attr_cultivo_1_fruit_tree_val"
"Farming/Cereals/TRIGO BLANDO";"Shell fruits";"NO";"ter_attr_cultivo_1_shell_fruits_val"
"Farming/Cereals/TRIGO BLANDO";"Aromatic condiment medicinal";"NO";"ter_attr_cultivo_1_aromatic_condiment_medicinal_val"
"Farming/Cereals/TRIGO BLANDO";"Direct sowing";"SI";"ter_attr_cultivo_1_direct_sowing_val"
"Farming/Cereals/TRIGO BLANDO";"Improving species";"NO";"ter_attr_cultivo_1_improving_species_val"
"Farming/Cereals/TRIGO BLANDO";"Short-cycle forestry";"NO";"ter_attr_cultivo_1_shortcycle_forestry_val"
"Farming/Cereals/TRIGO BLANDO";"Woody";"NO";"ter_attr_cultivo_1_woody_val"
"Farming/Cereals/TRIGO BLANDO";"Cropland";"SI";"ter_attr_cultivo_1_cropland_val"
"Farming/Cereals/TRIGO BLANDO";"Permanent crops";"NO";"ter_attr_cultivo_1_permanent_crops_val"
"Farming/Cereals/TRIGO BLANDO";"Permanent pasture";"NO";"ter_attr_cultivo_1_permanent_pasture_val"
"Farming/Cereals/TRIGO BLANDO";"Forest";"NO";"ter_attr_cultivo_1_forest_val"
"Farming/Cereals/TRIGO BLANDO";"Legumes";"NO";"ter_attr_cultivo_1_legumes_val"
"Farming/Cereals/TRIGO BLANDO";"Unharvested zone cereals legumes oilseeds";"SI";"ter_attr_cultivo_1_unharvested_zone_cereals_legumes_oilseed_val"
"Farming/Cereals/TRIGO BLANDO";"Integrated";"SI";"ter_attr_cultivo_1_integrated_val"
"Farming/Cereals/ESPELTA";"Latin";"Triticum spelta";"ter_attr_cultivo_2_latin_val"
"Farming/Cereals/ESPELTA";"EPPO";"TRZSP";"ter_attr_cultivo_2_eppo_val"
"Farming/Cereals/ESPELTA";"C. UPOV";"TRITI_AES_SPE";"ter_attr_cultivo_2_c_upov_val"
"Farming/Cereals/ESPELTA";"Horticultural";"NO";"ter_attr_cultivo_2_horticultural_val"
"Farming/Cereals/ESPELTA";"Energetic";"NO";"ter_attr_cultivo_2_energetic_val"
"Farming/Cereals/ESPELTA";"Fruit tree";"NO";"ter_attr_cultivo_2_fruit_tree_val"
"Farming/Cereals/ESPELTA";"Shell fruits";"NO";"ter_attr_cultivo_2_shell_fruits_val"
"Farming/Cereals/ESPELTA";"Aromatic condiment medicinal";"NO";"ter_attr_cultivo_2_aromatic_condiment_medicinal_val"
"Farming/Cereals/ESPELTA";"Direct sowing";"SI";"ter_attr_cultivo_2_direct_sowing_val"
"Farming/Cereals/ESPELTA";"Improving species";"NO";"ter_attr_cultivo_2_improving_species_val"
"Farming/Cereals/ESPELTA";"Short-cycle forestry";"NO";"ter_attr_cultivo_2_shortcycle_forestry_val"
"Farming/Cereals/ESPELTA";"Woody";"NO";"ter_attr_cultivo_2_woody_val"
"Farming/Cereals/ESPELTA";"Cropland";"SI";"ter_attr_cultivo_2_cropland_val"
"Farming/Cereals/ESPELTA";"Permanent crops";"NO";"ter_attr_cultivo_2_permanent_crops_val"
"Farming/Cereals/ESPELTA";"Permanent pasture";"NO";"ter_attr_cultivo_2_permanent_pasture_val"
"Farming/Cereals/ESPELTA";"Forest";"NO";"ter_attr_cultivo_2_forest_val"
"Farming/Cereals/ESPELTA";"Legumes";"NO";"ter_attr_cultivo_2_legumes_val"
"Farming/Cereals/ESPELTA";"Unharvested zone cereals legumes oilseeds";"SI";"ter_attr_cultivo_2_unharvested_zone_cereals_legumes_oilseed_val"
"Farming/Cereals/ESPELTA";"Integrated";"SI";"ter_attr_cultivo_2_integrated_val"
"Farming/Cereals/TRIGO DURO";"Latin";"Triticum durum";"ter_attr_cultivo_3_latin_val"
"Farming/Cereals/TRIGO DURO";"EPPO";"TRZDU";"ter_attr_cultivo_3_eppo_val"
"Farming/Cereals/TRIGO DURO";"C. UPOV";"TRITI_TUR_DUR";"ter_attr_cultivo_3_c_upov_val"
"Farming/Cereals/TRIGO DURO";"Horticultural";"NO";"ter_attr_cultivo_3_horticultural_val"
"Farming/Cereals/TRIGO DURO";"Energetic";"NO";"ter_attr_cultivo_3_energetic_val"
"Farming/Cereals/TRIGO DURO";"Fruit tree";"NO";"ter_attr_cultivo_3_fruit_tree_val"
"Farming/Cereals/TRIGO DURO";"Shell fruits";"NO";"ter_attr_cultivo_3_shell_fruits_val"
"Farming/Cereals/TRIGO DURO";"Aromatic condiment medicinal";"NO";"ter_attr_cultivo_3_aromatic_condiment_medicinal_val"
"Farming/Cereals/TRIGO DURO";"Direct sowing";"SI";"ter_attr_cultivo_3_direct_sowing_val"
"Farming/Cereals/TRIGO DURO";"Improving species";"NO";"ter_attr_cultivo_3_improving_species_val"
"Farming/Cereals/TRIGO DURO";"Short-cycle forestry";"NO";"ter_attr_cultivo_3_shortcycle_forestry_val"
"Farming/Cereals/TRIGO DURO";"Woody";"NO";"ter_attr_cultivo_3_woody_val"
"Farming/Cereals/TRIGO DURO";"Cropland";"SI";"ter_attr_cultivo_3_cropland_val"
"Farming/Cereals/TRIGO DURO";"Permanent crops";"NO";"ter_attr_cultivo_3_permanent_crops_val"
