"use_type_path";"attribute_name";"value_name"
"Farming/Cereals/SORGO";"Shell fruits";"NO"
"Farming/Cereals/SORGO";"Aromatic condiment medicinal";"NO"
"Farming/Cereals/SORGO";"Direct sowing";"SI"
"Farming/Cereals/SORGO";"Improving species";"NO"
"Farming/Cereals/SORGO";"Short-cycle forestry";"NO"
"Farming/Cereals/SORGO";"Woody";"NO"
"Farming/Cereals/SORGO";"Cropland";"SI"
"Farming/Cereals/SORGO";"Permanent crops";"NO"
"Farming/Cereals/SORGO";"Permanent pasture";"NO"
"Farming/Cereals/SORGO";"Forest";"NO"
"Farming/Cereals/SORGO";"Legumes";"NO"
"Farming/Cereals/SORGO";"Unharvested zone cereals legumes oilseeds";"SI"
"Farming/Cereals/SORGO";"Integrated";"SI"
"Farming/Cereals/AVENA";"Latin";"Avena sativa"
"Farming/Cereals/AVENA";"EPPO";"AVESA"
"Farming/Cereals/AVENA";"C. UPOV";"AVENA_SAT"
"Farming/Cereals/AVENA";"Horticultural";"NO"
"Farming/Cereals/AVENA";"Energetic";"SI"
"Farming/Cereals/AVENA";"Fruit tree";"NO"
"Farming/Cereals/AVENA";"Shell fruits";"NO"
"Farming/Cereals/AVENA";"Aromatic condiment medicinal";"NO"
"Farming/Cereals/AVENA";"Direct sowing";"SI"
"Farming/Cereals/AVENA";"Improving species";"NO"
"Farming/Cereals/AVENA";"Short-cycle forestry";"NO"
"Farming/Cereals/AVENA";"Woody";"NO"
"Farming/Cereals/AVENA";"Cropland";"SI"
"Farming/Cereals/AVENA";"Permanent crops";"NO"
"Farming/Cereals/AVENA";"Permanent pasture";"NO"
"Farming/Cereals/AVENA";"Forest";"NO"
"Farming/Cereals/AVENA";"Legumes";"NO"
"Farming/Cereals/AVENA";"Unharvested zone cereals legumes oilseeds";"SI"
"Farming/Cereals/AVENA";"Integrated";"SI"
"Farming/Other/ALFORFÓN";"Latin";"Fagopyrum esculentum"
"Farming/Other/ALFORFÓN";"EPPO";"FAGES"
"Farming/Other/ALFORFÓN";"C. UPOV";"FAGOP_ESC"
"Farming/Other/ALFORFÓN";"Horticultural";"NO"
"Farming/Other/ALFORFÓN";"Energetic";"NO"
"Farming/Other/ALFORFÓN";"Fruit tree";"NO"
"Farming/Other/ALFORFÓN";"Shell fruits";"NO"
"Farming/Other/ALFORFÓN";"Aromatic condiment medicinal";"NO"
"Farming/Other/ALFORFÓN";"Direct sowing";"SI"
"Farming/Other/ALFORFÓN";"Improving species";"NO"
"Farming/Other/ALFORFÓN";"Short-cycle forestry";"NO"
"Farming/Other/ALFORFÓN";"Woody";"NO"
"Farming/Other/ALFORFÓN";"Cropland";"SI"
"Farming/Other/ALFORFÓN";"Permanent crops";"NO"
"Farming/Other/ALFORFÓN";"Permanent pasture";"NO"
"Farming/Other/ALFORFÓN";"Forest";"NO"
"Farming/Other/ALFORFÓN";"Legumes";"NO"
"Farming/Other/ALFORFÓN";"Unharvested zone cereals legumes oilseeds";"SI"
"Farming/Other/ALFORFÓN";"Integrated";"SI"
"Farming/Cereals/MIJO";"Latin";"Panicum miliaceum"
"Farming/Cereals/MIJO";"EPPO";"PANMI"
"Farming/Cereals/MIJO";"C. UPOV";"PANIC_MIL"
"Farming/Cereals/MIJO";"Horticultural";"NO"
"Farming/Cereals/MIJO";"Energetic";"NO"
"Farming/Cereals/MIJO";"Fruit tree";"NO"
"Farming/Cereals/MIJO";"Shell fruits";"NO"
"Farming/Cereals/MIJO";"Aromatic condiment medicinal";"NO"
"Farming/Cereals/MIJO";"Direct sowing";"SI"
"Farming/Cereals/MIJO";"Improving species";"NO"
"Farming/Cereals/MIJO";"Short-cycle forestry";"NO"
"Farming/Cereals/MIJO";"Woody";"NO"
"Farming/Cereals/MIJO";"Cropland";"SI"
"Farming/Cereals/MIJO";"Permanent crops";"NO"
"Farming/Cereals/MIJO";"Permanent pasture";"NO"
"Farming/Cereals/MIJO";"Forest";"NO"
"Farming/Cereals/MIJO";"Legumes";"NO"
"Farming/Cereals/MIJO";"Unharvested zone cereals legumes oilseeds";"SI"
"Farming/Cereals/MIJO";"Integrated";"SI"
"Farming/Cereals/ALPISTE";"Latin";"Phalaris canariensis"
"Farming/Cereals/ALPISTE";"EPPO";"PHACA"
"Farming/Cereals/ALPISTE";"C. UPOV";"PHALR_CAN"
"Farming/Cereals/ALPISTE";"Horticultural";"NO"
"Farming/Cereals/ALPISTE";"Energetic";"NO"
"Farming/Cereals/ALPISTE";"Fruit tree";"NO"
"Farming/Cereals/ALPISTE";"Shell fruits";"NO"
"Farming/Cereals/ALPISTE";"Aromatic condiment medicinal";"NO"
"Farming/Cereals/ALPISTE";"Direct sowing";"SI"
"Farming/Cereals/ALPISTE";"Improving species";"NO"
"Farming/Cereals/ALPISTE";"Short-cycle forestry";"NO"
"Farming/Cereals/ALPISTE";"Woody";"NO"
"Farming/Cereals/ALPISTE";"Cropland";"SI"
"Farming/Cereals/ALPISTE";"Permanent crops";"NO"
"Farming/Cereals/ALPISTE";"Permanent pasture";"NO"
"Farming/Cereals/ALPISTE";"Forest";"NO"
"Farming/Cereals/ALPISTE";"Legumes";"NO"
"Farming/Cereals/ALPISTE";"Unharvested zone cereals legumes oilseeds";"SI"
"Farming/Cereals/ALPISTE";"Integrated";"SI"
"Farming/Other/TRANQUILLÓN";"Latin";"Triticum aestivum L. - Secale cereale L."
"Farming/Other/TRANQUILLÓN";"EPPO";""
"Farming/Other/TRANQUILLÓN";"C. UPOV";""
"Farming/Other/TRANQUILLÓN";"Horticultural";"NO"
"Farming/Other/TRANQUILLÓN";"Energetic";"SI"
"Farming/Other/TRANQUILLÓN";"Fruit tree";"NO"
"Farming/Other/TRANQUILLÓN";"Shell fruits";"NO"
"Farming/Other/TRANQUILLÓN";"Aromatic condiment medicinal";"NO"
"Farming/Other/TRANQUILLÓN";"Direct sowing";"SI"
"Farming/Other/TRANQUILLÓN";"Improving species";"NO"
"Farming/Other/TRANQUILLÓN";"Short-cycle forestry";"NO"
"Farming/Other/TRANQUILLÓN";"Woody";"NO"
