"use_type_path";"attribute_name"
"Farming/Unproductive/BARBECHO TRADICIONAL";"Cropland"
"Farming/Unproductive/BARBECHO TRADICIONAL";"Permanent crops"
"Farming/Unproductive/BARBECHO TRADICIONAL";"Permanent pasture"
"Farming/Unproductive/BARBECHO TRADICIONAL";"Forest"
"Farming/Unproductive/BARBECHO TRADICIONAL";"Legumes"
"Farming/Unproductive/BARBECHO TRADICIONAL";"Unharvested zone cereals legumes oilseeds"
"Farming/Unproductive/BARBECHO TRADICIONAL";"Integrated"
"Farming/Unproductive/BARBECHO MEDIOAMBIENTAL";"Latin"
"Farming/Unproductive/BARBECHO MEDIOAMBIENTAL";"EPPO"
"Farming/Unproductive/BARBECHO MEDIOAMBIENTAL";"C. UPOV"
"Farming/Unproductive/BARBECHO MEDIOAMBIENTAL";"Horticultural"
"Farming/Unproductive/BARBECHO MEDIOAMBIENTAL";"Energetic"
"Farming/Unproductive/BARBECHO MEDIOAMBIENTAL";"Fruit tree"
"Farming/Unproductive/BARBECHO MEDIOAMBIENTAL";"Shell fruits"
"Farming/Unproductive/BARBECHO MEDIOAMBIENTAL";"Aromatic condiment medicinal"
"Farming/Unproductive/BARBECHO MEDIOAMBIENTAL";"Direct sowing"
"Farming/Unproductive/BARBECHO MEDIOAMBIENTAL";"Improving species"
"Farming/Unproductive/BARBECHO MEDIOAMBIENTAL";"Short-cycle forestry"
"Farming/Unproductive/BARBECHO MEDIOAMBIENTAL";"Woody"
"Farming/Unproductive/BARBECHO MEDIOAMBIENTAL";"Cropland"
"Farming/Unproductive/BARBECHO MEDIOAMBIENTAL";"Permanent crops"
"Farming/Unproductive/BARBECHO MEDIOAMBIENTAL";"Permanent pasture"
"Farming/Unproductive/BARBECHO MEDIOAMBIENTAL";"Forest"
"Farming/Unproductive/BARBECHO MEDIOAMBIENTAL";"Legumes"
"Farming/Unproductive/BARBECHO MEDIOAMBIENTAL";"Unharvested zone cereals legumes oilseeds"
"Farming/Unproductive/BARBECHO MEDIOAMBIENTAL";"Integrated"
"Farming/Oilseeds and Industrial/GIRASOL";"Latin"
"Farming/Oilseeds and Industrial/GIRASOL";"EPPO"
"Farming/Oilseeds and Industrial/GIRASOL";"C. UPOV"
"Farming/Oilseeds and Industrial/GIRASOL";"Horticultural"
"Farming/Oilseeds and Industrial/GIRASOL";"Energetic"
"Farming/Oilseeds and Industrial/GIRASOL";"Fruit tree"
"Farming/Oilseeds and Industrial/GIRASOL";"Shell fruits"
"Farming/Oilseeds and Industrial/GIRASOL";"Aromatic condiment medicinal"
"Farming/Oilseeds and Industrial/GIRASOL";"Direct sowing"
"Farming/Oilseeds and Industrial/GIRASOL";"Improving species"
"Farming/Oilseeds and Industrial/GIRASOL";"Short-cycle forestry"
"Farming/Oilseeds and Industrial/GIRASOL";"Woody"
"Farming/Oilseeds and Industrial/GIRASOL";"Cropland"
"Farming/Oilseeds and Industrial/GIRASOL";"Permanent crops"
"Farming/Oilseeds and Industrial/GIRASOL";"Permanent pasture"
"Farming/Oilseeds and Industrial/GIRASOL";"Forest"
"Farming/Oilseeds and Industrial/GIRASOL";"Legumes"
"Farming/Oilseeds and Industrial/GIRASOL";"Unharvested zone cereals legumes oilseeds"
"Farming/Oilseeds and Industrial/GIRASOL";"Integrated"
"Farming/Legumes (grain)/SOJA";"Latin"
"Farming/Legumes (grain)/SOJA";"EPPO"
"Farming/Legumes (grain)/SOJA";"C. UPOV"
"Farming/Legumes (grain)/SOJA";"Horticultural"
"Farming/Legumes (grain)/SOJA";"Energetic"
"Farming/Legumes (grain)/SOJA";"Fruit tree"
"Farming/Legumes (grain)/SOJA";"Shell fruits"
"Farming/Legumes (grain)/SOJA";"Aromatic condiment medicinal"
"Farming/Legumes (grain)/SOJA";"Direct sowing"
"Farming/Legumes (grain)/SOJA";"Improving species"
"Farming/Legumes (grain)/SOJA";"Short-cycle forestry"
"Farming/Legumes (grain)/SOJA";"Woody"
"Farming/Legumes (grain)/SOJA";"Cropland"
"Farming/Legumes (grain)/SOJA";"Permanent crops"
"Farming/Legumes (grain)/SOJA";"Permanent pasture"
"Farming/Legumes (grain)/SOJA";"Forest"
"Farming/Legumes (grain)/SOJA";"Legumes"
"Farming/Legumes (grain)/SOJA";"Unharvested zone cereals legumes oilseeds"
"Farming/Legumes (grain)/SOJA";"Integrated"
"Farming/Oilseeds and Industrial/COLZA";"Latin"
"Farming/Oilseeds and Industrial/COLZA";"EPPO"
"Farming/Oilseeds and Industrial/COLZA";"C. UPOV"
"Farming/Oilseeds and Industrial/COLZA";"Horticultural"
"Farming/Oilseeds and Industrial/COLZA";"Energetic"
"Farming/Oilseeds and Industrial/COLZA";"Fruit tree"
"Farming/Oilseeds and Industrial/COLZA";"Shell fruits"
"Farming/Oilseeds and Industrial/COLZA";"Aromatic condiment medicinal"
"Farming/Oilseeds and Industrial/COLZA";"Direct sowing"
"Farming/Oilseeds and Industrial/COLZA";"Improving species"
"Farming/Oilseeds and Industrial/COLZA";"Short-cycle forestry"
"Farming/Oilseeds and Industrial/COLZA";"Woody"
"Farming/Oilseeds and Industrial/COLZA";"Cropland"
"Farming/Oilseeds and Industrial/COLZA";"Permanent crops"
"Farming/Oilseeds and Industrial/COLZA";"Permanent pasture"
"Farming/Oilseeds and Industrial/COLZA";"Forest"
"Farming/Oilseeds and Industrial/COLZA";"Legumes"
"Farming/Oilseeds and Industrial/COLZA";"Unharvested zone cereals legumes oilseeds"
"Farming/Oilseeds and Industrial/COLZA";"Integrated"
"Farming/Oilseeds and Industrial/CAMELINA";"Latin"
"Farming/Oilseeds and Industrial/CAMELINA";"EPPO"
"Farming/Oilseeds and Industrial/CAMELINA";"C. UPOV"
"Farming/Oilseeds and Industrial/CAMELINA";"Horticultural"
